id,featureId,version,data,createdAt,updatedAt,_altid,datasourceId,tenant
da213bdb-79a7-4ec4-9275-c56da51b3164,northwind-schema,,{},2020-07-06 21:21:25.038+00,2020-07-06 21:21:25.038+00,,da061cd8-885d-414a-b1a6-244f5c299347,manager
1a530bcf-42ed-4b46-9b12-a241c86379e1,northwind-datasets,,{},2020-07-06 21:21:25.192+00,2020-07-06 21:21:25.192+00,,da061cd8-885d-414a-b1a6-244f5c299347,manager
