name,slug,description,query,settings,windowSize,append,_id,_revision,_user,_date,_changes,_altid,_sourceId,tenant
Northwind Orders,northwind-orders,A dataset consisting of all orders in the northwind system (public schema),,{},500,f,684be0bc-fdb0-4b36-8cd4-f6f00cbd5a97,1,,2020-07-06 21:21:25.242+00,{settings},,078c60e5-7161-4eda-a379-e666887ff160,manager
Northwind Orders,northwind-orders,A dataset consisting of all orders in the northwind system (public schema),,{},500,f,dbbb4962-bda3-4230-a17a-743299d38ac6,2,,2020-07-06 21:21:25.254+00,{queryId},,078c60e5-7161-4eda-a379-e666887ff160,manager
