id,version,data,createdAt,updatedAt,tenant
northind,,"{""northind"": true}",2020-07-06 21:21:24.292+00,2020-07-06 21:21:24.292+00,manager
painless,,"{""painless"": true}",2020-07-08 13:03:27.611+00,2020-07-08 13:03:27.611+00,manager
